GEOMETRY

CURRENT_LOAD: 8.7789395895e+03
 COORDINATES 205
! NODE  X   Y   Z
    1    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2    2.5000000000e-01    0.0000000000e+00    0.0000000000e+00
    3    5.0000000000e-01    0.0000000000e+00    0.0000000000e+00
    4    7.5000000000e-01    0.0000000000e+00    0.0000000000e+00
    5    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    6    5.7644158790e-06    2.5000000000e-01    0.0000000000e+00
    7    2.5000576442e-01    2.5000000000e-01    0.0000000000e+00
    8    5.0000576442e-01    2.5000000000e-01    0.0000000000e+00
    9    7.5000576442e-01    2.5000000000e-01    0.0000000000e+00
    10    1.0000057644e+00    2.5000000000e-01    0.0000000000e+00
    11    2.2836140247e-05    5.0000000000e-01    0.0000000000e+00
    12    2.5002283614e-01    5.0000000000e-01    0.0000000000e+00
    13    5.0002283614e-01    5.0000000000e-01    0.0000000000e+00
    14    7.5002283614e-01    5.0000000000e-01    0.0000000000e+00
    15    1.0000228361e+00    5.0000000000e-01    0.0000000000e+00
    16    5.0559116309e-05    7.5000000000e-01    0.0000000000e+00
    17    2.5005055912e-01    7.5000000000e-01    0.0000000000e+00
    18    5.0005055912e-01    7.5000000000e-01    0.0000000000e+00
    19    7.5005055912e-01    7.5000000000e-01    0.0000000000e+00
    20    1.0000505591e+00    7.5000000000e-01    0.0000000000e+00
    21    8.7867965644e-05    1.0000000000e+00    0.0000000000e+00
    22    2.5008786797e-01    1.0000000000e+00    0.0000000000e+00
    23    5.0008786797e-01    1.0000000000e+00    0.0000000000e+00
    24    7.5008786797e-01    1.0000000000e+00    0.0000000000e+00
    25    1.0000878680e+00    1.0000000000e+00    0.0000000000e+00
    26    1.3332893009e-04    1.2500000000e+00    0.0000000000e+00
    27    2.5013332893e-01    1.2500000000e+00    0.0000000000e+00
    28    5.0013332893e-01    1.2500000000e+00    0.0000000000e+00
    29    7.5013332893e-01    1.2500000000e+00    0.0000000000e+00
    30    1.0001333289e+00    1.2500000000e+00    0.0000000000e+00
    31    1.8519497029e-04    1.5000000000e+00    0.0000000000e+00
    32    2.5018519497e-01    1.5000000000e+00    0.0000000000e+00
    33    5.0018519497e-01    1.5000000000e+00    0.0000000000e+00
    34    7.5018519497e-01    1.5000000000e+00    0.0000000000e+00
    35    1.0001851950e+00    1.5000000000e+00    0.0000000000e+00
    36    2.4147290340e-04    1.7500000000e+00    0.0000000000e+00
    37    2.5024147290e-01    1.7500000000e+00    0.0000000000e+00
    38    5.0024147290e-01    1.7500000000e+00    0.0000000000e+00
    39    7.5024147290e-01    1.7500000000e+00    0.0000000000e+00
    40    1.0002414729e+00    1.7500000000e+00    0.0000000000e+00
    41    3.0000000000e-04    2.0000000000e+00    0.0000000000e+00
    42    2.5030000000e-01    2.0000000000e+00    0.0000000000e+00
    43    5.0030000000e-01    2.0000000000e+00    0.0000000000e+00
    44    7.5030000000e-01    2.0000000000e+00    0.0000000000e+00
    45    1.0003000000e+00    2.0000000000e+00    0.0000000000e+00
    46    3.5852709660e-04    2.2500000000e+00    0.0000000000e+00
    47    2.5035852710e-01    2.2500000000e+00    0.0000000000e+00
    48    5.0035852710e-01    2.2500000000e+00    0.0000000000e+00
    49    7.5035852710e-01    2.2500000000e+00    0.0000000000e+00
    50    1.0003585271e+00    2.2500000000e+00    0.0000000000e+00
    51    4.1480502971e-04    2.5000000000e+00    0.0000000000e+00
    52    2.5041480503e-01    2.5000000000e+00    0.0000000000e+00
    53    5.0041480503e-01    2.5000000000e+00    0.0000000000e+00
    54    7.5041480503e-01    2.5000000000e+00    0.0000000000e+00
    55    1.0004148050e+00    2.5000000000e+00    0.0000000000e+00
    56    4.6667106991e-04    2.7500000000e+00    0.0000000000e+00
    57    2.5046667107e-01    2.7500000000e+00    0.0000000000e+00
    58    5.0046667107e-01    2.7500000000e+00    0.0000000000e+00
    59    7.5046667107e-01    2.7500000000e+00    0.0000000000e+00
    60    1.0004666711e+00    2.7500000000e+00    0.0000000000e+00
    61    5.1213203436e-04    3.0000000000e+00    0.0000000000e+00
    62    2.5051213203e-01    3.0000000000e+00    0.0000000000e+00
    63    5.0051213203e-01    3.0000000000e+00    0.0000000000e+00
    64    7.5051213203e-01    3.0000000000e+00    0.0000000000e+00
    65    1.0005121320e+00    3.0000000000e+00    0.0000000000e+00
    66    5.4944088369e-04    3.2500000000e+00    0.0000000000e+00
    67    2.5054944088e-01    3.2500000000e+00    0.0000000000e+00
    68    5.0054944088e-01    3.2500000000e+00    0.0000000000e+00
    69    7.5054944088e-01    3.2500000000e+00    0.0000000000e+00
    70    1.0005494409e+00    3.2500000000e+00    0.0000000000e+00
    71    5.7716385975e-04    3.5000000000e+00    0.0000000000e+00
    72    2.5057716386e-01    3.5000000000e+00    0.0000000000e+00
    73    5.0057716386e-01    3.5000000000e+00    0.0000000000e+00
    74    7.5057716386e-01    3.5000000000e+00    0.0000000000e+00
    75    1.0005771639e+00    3.5000000000e+00    0.0000000000e+00
    76    5.9423558412e-04    3.7500000000e+00    0.0000000000e+00
    77    2.5059423558e-01    3.7500000000e+00    0.0000000000e+00
    78    5.0059423558e-01    3.7500000000e+00    0.0000000000e+00
    79    7.5059423558e-01    3.7500000000e+00    0.0000000000e+00
    80    1.0005942356e+00    3.7500000000e+00    0.0000000000e+00
    81    6.0000000000e-04    4.0000000000e+00    0.0000000000e+00
    82    2.5060000000e-01    4.0000000000e+00    0.0000000000e+00
    83    5.0060000000e-01    4.0000000000e+00    0.0000000000e+00
    84    7.5060000000e-01    4.0000000000e+00    0.0000000000e+00
    85    1.0006000000e+00    4.0000000000e+00    0.0000000000e+00
    86    5.9423558412e-04    4.2500000000e+00    0.0000000000e+00
    87    2.5059423558e-01    4.2500000000e+00    0.0000000000e+00
    88    5.0059423558e-01    4.2500000000e+00    0.0000000000e+00
    89    7.5059423558e-01    4.2500000000e+00    0.0000000000e+00
    90    1.0005942356e+00    4.2500000000e+00    0.0000000000e+00
    91    5.7716385975e-04    4.5000000000e+00    0.0000000000e+00
    92    2.5057716386e-01    4.5000000000e+00    0.0000000000e+00
    93    5.0057716386e-01    4.5000000000e+00    0.0000000000e+00
    94    7.5057716386e-01    4.5000000000e+00    0.0000000000e+00
    95    1.0005771639e+00    4.5000000000e+00    0.0000000000e+00
    96    5.4944088369e-04    4.7500000000e+00    0.0000000000e+00
    97    2.5054944088e-01    4.7500000000e+00    0.0000000000e+00
    98    5.0054944088e-01    4.7500000000e+00    0.0000000000e+00
    99    7.5054944088e-01    4.7500000000e+00    0.0000000000e+00
    100    1.0005494409e+00    4.7500000000e+00    0.0000000000e+00
    101    5.1213203436e-04    5.0000000000e+00    0.0000000000e+00
    102    2.5051213203e-01    5.0000000000e+00    0.0000000000e+00
    103    5.0051213203e-01    5.0000000000e+00    0.0000000000e+00
    104    7.5051213203e-01    5.0000000000e+00    0.0000000000e+00
    105    1.0005121320e+00    5.0000000000e+00    0.0000000000e+00
    106    4.6667106991e-04    5.2500000000e+00    0.0000000000e+00
    107    2.5046667107e-01    5.2500000000e+00    0.0000000000e+00
    108    5.0046667107e-01    5.2500000000e+00    0.0000000000e+00
    109    7.5046667107e-01    5.2500000000e+00    0.0000000000e+00
    110    1.0004666711e+00    5.2500000000e+00    0.0000000000e+00
    111    4.1480502971e-04    5.5000000000e+00    0.0000000000e+00
    112    2.5041480503e-01    5.5000000000e+00    0.0000000000e+00
    113    5.0041480503e-01    5.5000000000e+00    0.0000000000e+00
    114    7.5041480503e-01    5.5000000000e+00    0.0000000000e+00
    115    1.0004148050e+00    5.5000000000e+00    0.0000000000e+00
    116    3.5852709660e-04    5.7500000000e+00    0.0000000000e+00
    117    2.5035852710e-01    5.7500000000e+00    0.0000000000e+00
    118    5.0035852710e-01    5.7500000000e+00    0.0000000000e+00
    119    7.5035852710e-01    5.7500000000e+00    0.0000000000e+00
    120    1.0003585271e+00    5.7500000000e+00    0.0000000000e+00
    121    3.0000000000e-04    6.0000000000e+00    0.0000000000e+00
    122    2.5030000000e-01    6.0000000000e+00    0.0000000000e+00
    123    5.0030000000e-01    6.0000000000e+00    0.0000000000e+00
    124    7.5030000000e-01    6.0000000000e+00    0.0000000000e+00
    125    1.0003000000e+00    6.0000000000e+00    0.0000000000e+00
    126    2.4147290340e-04    6.2500000000e+00    0.0000000000e+00
    127    2.5024147290e-01    6.2500000000e+00    0.0000000000e+00
    128    5.0024147290e-01    6.2500000000e+00    0.0000000000e+00
    129    7.5024147290e-01    6.2500000000e+00    0.0000000000e+00
    130    1.0002414729e+00    6.2500000000e+00    0.0000000000e+00
    131    1.8519497029e-04    6.5000000000e+00    0.0000000000e+00
    132    2.5018519497e-01    6.5000000000e+00    0.0000000000e+00
    133    5.0018519497e-01    6.5000000000e+00    0.0000000000e+00
    134    7.5018519497e-01    6.5000000000e+00    0.0000000000e+00
    135    1.0001851950e+00    6.5000000000e+00    0.0000000000e+00
    136    1.3332893009e-04    6.7500000000e+00    0.0000000000e+00
    137    2.5013332893e-01    6.7500000000e+00    0.0000000000e+00
    138    5.0013332893e-01    6.7500000000e+00    0.0000000000e+00
    139    7.5013332893e-01    6.7500000000e+00    0.0000000000e+00
    140    1.0001333289e+00    6.7500000000e+00    0.0000000000e+00
    141    8.7867965644e-05    7.0000000000e+00    0.0000000000e+00
    142    2.5008786797e-01    7.0000000000e+00    0.0000000000e+00
    143    5.0008786797e-01    7.0000000000e+00    0.0000000000e+00
    144    7.5008786797e-01    7.0000000000e+00    0.0000000000e+00
    145    1.0000878680e+00    7.0000000000e+00    0.0000000000e+00
    146    5.0559116309e-05    7.2500000000e+00    0.0000000000e+00
    147    2.5005055912e-01    7.2500000000e+00    0.0000000000e+00
    148    5.0005055912e-01    7.2500000000e+00    0.0000000000e+00
    149    7.5005055912e-01    7.2500000000e+00    0.0000000000e+00
    150    1.0000505591e+00    7.2500000000e+00    0.0000000000e+00
    151    2.2836140247e-05    7.5000000000e+00    0.0000000000e+00
    152    2.5002283614e-01    7.5000000000e+00    0.0000000000e+00
    153    5.0002283614e-01    7.5000000000e+00    0.0000000000e+00
    154    7.5002283614e-01    7.5000000000e+00    0.0000000000e+00
    155    1.0000228361e+00    7.5000000000e+00    0.0000000000e+00
    156    5.7644158790e-06    7.7500000000e+00    0.0000000000e+00
    157    2.5000576442e-01    7.7500000000e+00    0.0000000000e+00
    158    5.0000576442e-01    7.7500000000e+00    0.0000000000e+00
    159    7.5000576442e-01    7.7500000000e+00    0.0000000000e+00
    160    1.0000057644e+00    7.7500000000e+00    0.0000000000e+00
    161    0.0000000000e+00    8.0000000000e+00    0.0000000000e+00
    162    2.5000000000e-01    8.0000000000e+00    0.0000000000e+00
    163    5.0000000000e-01    8.0000000000e+00    0.0000000000e+00
    164    7.5000000000e-01    8.0000000000e+00    0.0000000000e+00
    165    1.0000000000e+00    8.0000000000e+00    0.0000000000e+00
    166    5.7644158790e-06    8.2500000000e+00    0.0000000000e+00
    167    2.5000576442e-01    8.2500000000e+00    0.0000000000e+00
    168    5.0000576442e-01    8.2500000000e+00    0.0000000000e+00
    169    7.5000576442e-01    8.2500000000e+00    0.0000000000e+00
    170    1.0000057644e+00    8.2500000000e+00    0.0000000000e+00
    171    2.2836140247e-05    8.5000000000e+00    0.0000000000e+00
    172    2.5002283614e-01    8.5000000000e+00    0.0000000000e+00
    173    5.0002283614e-01    8.5000000000e+00    0.0000000000e+00
    174    7.5002283614e-01    8.5000000000e+00    0.0000000000e+00
    175    1.0000228361e+00    8.5000000000e+00    0.0000000000e+00
    176    5.0559116309e-05    8.7500000000e+00    0.0000000000e+00
    177    2.5005055912e-01    8.7500000000e+00    0.0000000000e+00
    178    5.0005055912e-01    8.7500000000e+00    0.0000000000e+00
    179    7.5005055912e-01    8.7500000000e+00    0.0000000000e+00
    180    1.0000505591e+00    8.7500000000e+00    0.0000000000e+00
    181    8.7867965644e-05    9.0000000000e+00    0.0000000000e+00
    182    2.5008786797e-01    9.0000000000e+00    0.0000000000e+00
    183    5.0008786797e-01    9.0000000000e+00    0.0000000000e+00
    184    7.5008786797e-01    9.0000000000e+00    0.0000000000e+00
    185    1.0000878680e+00    9.0000000000e+00    0.0000000000e+00
    186    1.3332893009e-04    9.2500000000e+00    0.0000000000e+00
    187    2.5013332893e-01    9.2500000000e+00    0.0000000000e+00
    188    5.0013332893e-01    9.2500000000e+00    0.0000000000e+00
    189    7.5013332893e-01    9.2500000000e+00    0.0000000000e+00
    190    1.0001333289e+00    9.2500000000e+00    0.0000000000e+00
    191    1.8519497029e-04    9.5000000000e+00    0.0000000000e+00
    192    2.5018519497e-01    9.5000000000e+00    0.0000000000e+00
    193    5.0018519497e-01    9.5000000000e+00    0.0000000000e+00
    194    7.5018519497e-01    9.5000000000e+00    0.0000000000e+00
    195    1.0001851950e+00    9.5000000000e+00    0.0000000000e+00
    196    2.4147290340e-04    9.7500000000e+00    0.0000000000e+00
    197    2.5024147290e-01    9.7500000000e+00    0.0000000000e+00
    198    5.0024147290e-01    9.7500000000e+00    0.0000000000e+00
    199    7.5024147290e-01    9.7500000000e+00    0.0000000000e+00
    200    1.0002414729e+00    9.7500000000e+00    0.0000000000e+00
    201    3.0000000000e-04    1.0000000000e+01    0.0000000000e+00
    202    2.5030000000e-01    1.0000000000e+01    0.0000000000e+00
    203    5.0030000000e-01    1.0000000000e+01    0.0000000000e+00
    204    7.5030000000e-01    1.0000000000e+01    0.0000000000e+00
    205    1.0003000000e+00    1.0000000000e+01    0.0000000000e+00

 ELEMENTS 40
    ELEMENT_NODES
    1    1    3    13    11    2    8    12    6    7
    2    3    5    15    13    4    10    14    8    9
    3    11    13    23    21    12    18    22    16    17
    4    13    15    25    23    14    20    24    18    19
    5    21    23    33    31    22    28    32    26    27
    6    23    25    35    33    24    30    34    28    29
    7    31    33    43    41    32    38    42    36    37
    8    33    35    45    43    34    40    44    38    39
    9    41    43    53    51    42    48    52    46    47
    10    43    45    55    53    44    50    54    48    49
    11    51    53    63    61    52    58    62    56    57
    12    53    55    65    63    54    60    64    58    59
    13    61    63    73    71    62    68    72    66    67
    14    63    65    75    73    64    70    74    68    69
    15    71    73    83    81    72    78    82    76    77
    16    73    75    85    83    74    80    84    78    79
    17    81    83    93    91    82    88    92    86    87
    18    83    85    95    93    84    90    94    88    89
    19    91    93    103    101    92    98    102    96    97
    20    93    95    105    103    94    100    104    98    99
